,Player,Year,poss,raptor_defense,raptor_total,war_total,war_reg_season,predator_defense,predator_total,pace_impact
0,Alaa Abdelnaby,1991,640,-0.510076405,-4.448525973,-0.265191008,-0.226162818,-1.696796053,-5.602527881,0.199240629
1,Alaa Abdelnaby,1992,1998,-0.197943029,-2.751792294,-0.006892965,0.070321631,-0.721876322,-3.221452269,0.48543621
2,Alaa Abdelnaby,1993,2754,-2.069807932,-4.443543755,-1.227189351,-0.845271749,-2.002262822,-4.33040692,0.488265925
3,Alaa Abdelnaby,1994,320,-2.748312039,-8.888368496,-0.500600277,-0.500600277,-3.526560036,-9.347496054,0.511152215
4,Alaa Abdelnaby,1995,984,-1.268012224,-5.114555504,-0.615802282,-0.615802282,-1.02702406,-4.742453349,1.545921938
5,Mahmoud Abdul-Rauf,1991,3606,-3.04218353,-5.964941384,-2.473735228,-2.473735228,-2.762224061,-5.570814295,0.206360699
6,Mahmoud Abdul-Rauf,1992,3196,-2.523590982,-5.057953769,-1.814584645,-1.814584645,-2.64311431,-5.343113531,0.192425414
7,Mahmoud Abdul-Rauf,1993,5699,-1.088421073,-0.798606175,2.692147156,2.692147156,-0.72314419,-0.382391412,-0.215319094
8,Mahmoud Abdul-Rauf,1994,5925,-0.888265747,0.146934881,4.330179997,4.136852025,-0.634116738,0.245904217,-0.33829414
9,Mahmoud Abdul-Rauf,1995,4159,-1.004573896,0.782451305,3.871859672,3.935211566,-0.865754738,0.999787009,-0.253823604
10,Mahmoud Abdul-Rauf,1996,3942,-0.987506208,2.515019555,5.422872544,5.422872544,-0.513614179,3.041925423,-0.468129802
11,Mahmoud Abdul-Rauf,1997,4086,-1.726187046,-2.115964917,0.689871014,0.689871014,-1.370142593,-1.66677395,0.069513836
12,Mahmoud Abdul-Rauf,1998,1029,-1.477924683,-4.783144242,-0.548181158,-0.548181158,-1.75299735,-4.971724649,-0.264747194
13,Mahmoud Abdul-Rauf,2001,939,-2.640497903,-1.961977035,0.195461434,0.195461434,-3.090443565,-3.122177856,0.030938043
14,Tariq Abdul-Wahad,1998,1861,-1.187281304,-4.891414251,-1.048298791,-1.048298791,-1.663344623,-5.434734046,0.047412282
15,Tariq Abdul-Wahad,1999,2623,-0.257224346,-1.988063696,0.536422625,0.20445891,-0.06478221,-2.113926314,-0.018855653
16,Tariq Abdul-Wahad,2000,3215,-0.457693754,-1.645746105,0.876071324,0.876071324,-0.196092534,-1.506719649,0.018992288
17,Tariq Abdul-Wahad,2001,820,-0.963653309,-6.267314641,-0.758929606,-0.758929606,-1.405260424,-6.765020156,0.640189941
18,Tariq Abdul-Wahad,2002,841,-0.478044626,-3.002369096,-0.056545837,-0.056545837,-0.135060136,-2.814684803,0.412453313
19,Tariq Abdul-Wahad,2003,553,-0.957465632,-1.169931668,0.228928554,0.199733283,-1.391197723,-2.252645496,-0.325525039
20,Shareef Abdur-Rahim,1997,5220,-1.382817187,-3.715352376,-1.372235,-1.372235,-1.333474657,-3.526277856,-0.516677603
21,Shareef Abdur-Rahim,1998,5725,-1.15126518,0.390007756,4.695972401,4.695972401,-1.085284737,0.366265765,-0.580334182
22,Shareef Abdur-Rahim,1999,3790,-0.700346394,-0.189050608,2.626029059,2.626029059,-0.573608592,-0.158984534,-0.497668351
23,Shareef Abdur-Rahim,2000,6180,-0.047800207,1.41333538,6.815217161,6.815217161,-0.005868378,1.335731681,-0.424788843
